grid point   7,  1 calculation(s)
grid point   6,  1 calculation(s)
grid point   5,  1 calculation(s)
grid point   4,  1 calculation(s)
grid point   3,  1 calculation(s)
grid point   8,  1 calculation(s)
grid point   2,  1 calculation(s)
grid point  14,  1 calculation(s)
grid point  13,  1 calculation(s)
grid point  12,  1 calculation(s)
grid point  11,  1 calculation(s)
grid point   1,  1 calculation(s)
grid point  16,  1 calculation(s)
grid point  17,  1 calculation(s)
grid point  15,  1 calculation(s)
grid point  10,  1 calculation(s)
grid point  23,  1 calculation(s)
grid point  22,  1 calculation(s)
grid point  21,  1 calculation(s)
grid point  20,  1 calculation(s)
grid point  25,  1 calculation(s)
grid point  24,  1 calculation(s)
grid point  26,  1 calculation(s)
grid point  19,  1 calculation(s)
grid point   0,  1 calculation(s)
grid point   9,  1 calculation(s)
grid point  31,  1 calculation(s)
grid point  30,  1 calculation(s)
grid point  32,  1 calculation(s)
grid point  29,  1 calculation(s)
grid point  34,  1 calculation(s)
grid point  33,  1 calculation(s)
grid point  35,  1 calculation(s)
grid point  18,  1 calculation(s)
grid point  28,  1 calculation(s)
grid point  40,  1 calculation(s)
grid point  39,  1 calculation(s)
grid point  38,  1 calculation(s)
grid point  42,  1 calculation(s)
grid point  41,  1 calculation(s)
grid point  43,  1 calculation(s)
grid point  44,  1 calculation(s)
grid point  37,  1 calculation(s)
grid point  49,  1 calculation(s)
grid point  48,  1 calculation(s)
grid point  27,  1 calculation(s)
grid point  47,  1 calculation(s)
grid point  50,  1 calculation(s)
grid point  51,  1 calculation(s)
grid point  52,  1 calculation(s)
grid point  53,  1 calculation(s)
grid point  46,  1 calculation(s)
grid point  36,  1 calculation(s)
grid point  58,  1 calculation(s)
grid point  57,  1 calculation(s)
grid point  59,  1 calculation(s)
grid point  56,  1 calculation(s)
grid point  62,  1 calculation(s)
grid point  60,  1 calculation(s)
grid point  61,  1 calculation(s)
grid point  55,  1 calculation(s)
grid point  67,  1 calculation(s)
grid point  68,  1 calculation(s)
grid point  45,  1 calculation(s)
grid point  66,  1 calculation(s)
grid point  65,  1 calculation(s)
grid point  70,  1 calculation(s)
grid point  69,  1 calculation(s)
grid point  71,  1 calculation(s)
grid point  64,  1 calculation(s)
grid point  54,  1 calculation(s)
grid point  76,  1 calculation(s)
grid point  75,  1 calculation(s)
grid point  77,  1 calculation(s)
grid point  78,  1 calculation(s)
grid point  74,  1 calculation(s)
grid point  79,  1 calculation(s)
grid point  80,  1 calculation(s)
grid point  73,  1 calculation(s)
grid point  63,  1 calculation(s)
grid point  85,  1 calculation(s)
grid point  84,  1 calculation(s)
grid point  86,  1 calculation(s)
grid point  83,  1 calculation(s)
grid point  87,  1 calculation(s)
grid point  88,  1 calculation(s)
grid point  89,  1 calculation(s)
grid point  82,  1 calculation(s)
grid point  72,  1 calculation(s)
grid point  94,  1 calculation(s)
grid point  92,  1 calculation(s)
grid point  95,  1 calculation(s)
grid point  93,  1 calculation(s)
grid point  96,  1 calculation(s)
grid point  98,  1 calculation(s)
grid point  97,  1 calculation(s)
grid point  91,  1 calculation(s)
grid point  81,  1 calculation(s)
grid point 103,  1 calculation(s)
grid point 102,  1 calculation(s)
grid point 104,  1 calculation(s)
grid point 101,  1 calculation(s)
grid point 105,  1 calculation(s)
grid point 106,  1 calculation(s)
grid point 100,  1 calculation(s)
grid point 107,  1 calculation(s)
grid point 113,  1 calculation(s)
grid point 112,  1 calculation(s)
grid point 111,  1 calculation(s)
grid point  90,  1 calculation(s)
grid point 110,  1 calculation(s)
grid point 114,  1 calculation(s)
grid point 115,  1 calculation(s)
grid point 116,  1 calculation(s)
grid point 109,  1 calculation(s)
grid point  99,  1 calculation(s)
grid point 121,  1 calculation(s)
grid point 120,  1 calculation(s)
grid point 119,  1 calculation(s)
grid point 122,  1 calculation(s)
grid point 124,  1 calculation(s)
grid point 123,  1 calculation(s)
grid point 125,  1 calculation(s)
grid point 118,  1 calculation(s)
grid point 130,  1 calculation(s)
